areaname,areatype,periodyear,income,population
United States,0,2010,50046,308745538.0
Arapahoe County,4,2010,39598,574727.0
La Plata County,4,2010,2083201000,51371.0
Lincoln County,4,2010,157389000,5469.0
Park County,4,2010,66400,16206.0
Colorado,1,2010,201569924000,5048254.0
Elbert County,4,2010,899636000,23095.0
Pitkin County,4,2010,87976,17156.0
Greeley MSA,21,2010,32660,254173.0
Kiowa County,4,2010,37600,1398.0
Park County,4,2010,31764,16262.0
Douglas County,4,2010,97806,285465.0
Costilla County,4,2010,27305,3524.0
Montezuma County,4,2010,41074,25535.0
Douglas County,4,2010,15278947000,286964.0
Summit County,4,2010,1173874000,28065.0
Eagle County,4,2010,42684,52085.0
Fremont County,4,2010,25453,46857.0
Mesa County,4,2010,4919674000,146489.0
Colorado Springs MSA,21,2010,24944093000,650351.0
Routt County,4,2010,1168913000,23450.0
Clear Creek County,4,2010,392726000,9083.0
Phillips County,4,2010,162819000,4463.0
Larimer County,4,2010,36955,300524.0
Cheyenne County,4,2010,44464,1836.0
Teller County,4,2010,893101000,23450.0
Colorado,1,2010,40892,5048575.0
Gunnison County,4,2010,47698,15324.0
Summit County,4,2010,41827,28065.0
Cheyenne County,4,2010,98769000,1831.0
Boulder County,4,2010,14655053000,295986.0
Jefferson County,4,2010,23133334000,535625.0
Phillips County,4,2010,44064,4442.0
United States,0,2010,12257037461,309347057.0
Pueblo County,4,2010,39107,159063.0
Jackson County,4,2010,43691,1394.0
Huerfano County,4,2010,198254000,6668.0
Jackson County,4,2010,36058,1385.0
Teller County,4,2010,38085,23450.0
Baca County,4,2010,33086,3788.0
Kiowa County,4,2010,43334,1396.0
Ouray County,4,2010,168509000,4466.0
Hinsdale County,4,2010,48195,843.0
Saguache County,4,2010,160817000,6136.0
El Paso County,4,2010,51553,622263.0
Mineral County,4,2010,37456,704.0
Denver County,4,2010,45415,600158.0
Grand County,4,2010,437501000,14783.0
Garfield County,4,2010,2041072000,56094.0
Summit County,4,2010,60087,27994.0
Denver County,4,2010,47786,603300.0
San Juan County,4,2010,23167000,708.0
Mineral County,4,2010,26369000,704.0
Custer County,4,2010,134805000,4275.0
Broomfield County,4,2010,76006,55889.0
Eagle County,4,2010,69182,52197.0
Delta County,4,2010,860718000,30878.0
Grand Junction MSA,21,2010,33379,146485.0
Las Animas County,4,2010,28319,15394.0
La Plata County,4,2010,53029,51334.0
Delta County,4,2010,27875,30878.0
Chaffee County,4,2010,533983000,17803.0
Alamosa County,4,2010,28432,15926.0
Pueblo County,4,2010,4678103000,159520.0
Sedgwick County,4,2010,39634,2370.0
Sedgwick County,4,2010,93933000,2370.0
Kit Carson County,4,2010,34430,8247.0
Rio Grande County,4,2010,30993,12018.0
Washington County,4,2010,40914,4814.0
Rio Blanco County,4,2010,36600,6669.0
Eagle County,4,2010,2223183000,52085.0
Kit Carson County,4,2010,283943000,8247.0
Grand Junction MSA,21,2010,4889542000,146485.0
Conejos County,4,2010,201881000,8292.0
Chaffee County,4,2010,29994,17803.0
Prowers County,4,2010,396379000,12562.0
Saguache County,4,2010,30985,6108.0
Alamosa County,4,2010,452811000,15926.0
Custer County,4,2010,42951,4255.0
Clear Creek County,4,2010,64822,9088.0
Pitkin County,4,2010,65568,17148.0
Elbert County,4,2010,78550,23086.0
Pueblo MSA,21,2010,29725,159536.0
Adams County,4,2010,30299,443680.0
Lincoln County,4,2010,39230,5467.0
Washington County,4,2010,35120,4801.0
Dolores County,4,2010,23002,2065.0
Rio Grande County,4,2010,37300,11982.0
Pueblo County,4,2010,29326,159520.0
Prowers County,4,2010,34488,12551.0
San Juan County,4,2010,32722,708.0
Grand County,4,2010,55818,14843.0
Weld County,4,2010,8252078000,254166.0
Custer County,4,2010,31533,4275.0
Archuleta County,4,2010,363621000,12056.0
Garfield County,4,2010,60456,56389.0
Saguache County,4,2010,26209,6136.0
Costilla County,4,2010,25186,3527.0
Logan County,4,2010,760535000,22130.0
Denver - Aurora MSA,21,2010,46068,2554335.0
Gilpin County,4,2010,63024,5441.0
Prowers County,4,2010,31554,12562.0
Morgan County,4,2010,30313,28172.0
Delta County,4,2010,40288,30952.0
Moffat County,4,2010,55913,13795.0
Douglas County,4,2010,53243,286964.0
Huerfano County,4,2010,29732,6668.0
Montrose County,4,2010,1203594000,41194.0
Montezuma County,4,2010,30290,25548.0
Baca County,4,2010,39204,3790.0
Kiowa County,4,2010,60494000,1396.0
Morgan County,4,2010,43209,28159.0
Moffat County,4,2010,440330000,13812.0
Crowley County,4,2010,103399000,5853.0
Grand County,4,2010,29595,14783.0
Conejos County,4,2010,24346,8292.0
Bent County,4,2010,23009,6509.0
Adams County,4,2010,13442881000,443680.0
Jackson County,4,2010,49941000,1385.0
Colorado,1,2010,206445961,5048575.0
Lake County,4,2010,43565,7310.0
Las Animas County,4,2010,37700,15507.0
Montezuma County,4,2010,773850000,25548.0
Montrose County,4,2010,44002,41276.0
Routt County,4,2010,49847,23450.0
Costilla County,4,2010,88832000,3527.0
Kit Carson County,4,2010,39498,8270.0
Hinsdale County,4,2010,33923,844.0
Dolores County,4,2010,47500000,2065.0
Bent County,4,2010,149763000,6509.0
Boulder-Longmont MSA,21,2010,14997719000,295967.0
Alamosa County,4,2010,36339,15445.0
Elbert County,4,2010,38954,23095.0
Morgan County,4,2010,853978000,28172.0
El Paso County,4,2010,37699,626916.0
Rio Grande County,4,2010,372475000,12018.0
Otero County,4,2010,542904000,18883.0
Park County,4,2010,516554000,16262.0
Bent County,4,2010,33702,6499.0
Garfield County,4,2010,36387,56094.0
Phillips County,4,2010,36482,4463.0
Larimer County,4,2010,11105819000,300524.0
Ouray County,4,2010,37732,4466.0
Teller County,4,2010,59966,23350.0
Rio Blanco County,4,2010,59308,6666.0
Otero County,4,2010,34360,18831.0
Moffat County,4,2010,31880,13812.0
Gunnison County,4,2010,509268000,15379.0
Yuma County,4,2010,43361,10043.0
San Miguel County,4,2010,62368,7359.0
Broomfield County,4,2010,70094,56271.0
Logan County,4,2010,40637,22709.0
United States,0,2010,12459613000000,309346863.0
Clear Creek County,4,2010,43237,9083.0
Archuleta County,4,2010,46165,12084.0
Lake County,4,2010,192107000,7267.0
Fremont County,4,2010,40543,46824.0
Boulder County,4,2010,62215,294567.0
Las Animas County,4,2010,435941000,15394.0
Routt County,4,2010,60506,23509.0
Fort Collins-Loveland MSA,21,2010,37335,300484.0
Otero County,4,2010,28751,18883.0
Pueblo MSA,21,2010,4742210000,159536.0
Weld County,4,2010,32467,254166.0
Boulder-Longmont MSA,21,2010,50674,295967.0
Ouray County,4,2010,54920,4436.0
Broomfield County,4,2010,3944283000,56271.0
Logan County,4,2010,34367,22130.0
Washington County,4,2010,168610000,4801.0
United States,0,2010,39622,309347057.0
Mesa County,4,2010,47324,146723.0
Huerfano County,4,2010,31696,6711.0
Crowley County,4,2010,34569,5823.0
Colorado,1,2010,54411,5029196.0
Hinsdale County,4,2010,28631000,844.0
Gilpin County,4,2010,34953,5461.0
Arapahoe County,4,2010,22757930000,574727.0
Pitkin County,4,2010,1509323000,17156.0
Denver - Aurora MSA,21,2010,117673725000,2554335.0
San Miguel County,4,2010,46117,7359.0
Greeley MSA,21,2010,8301365000,254173.0
Mesa County,4,2010,33584,146489.0
Lincoln County,4,2010,28778,5469.0
Mineral County,4,2010,45645,712.0
Yuma County,4,2010,383505000,10025.0
Lake County,4,2010,26436,7267.0
Denver County,4,2010,28829542000,603300.0
Adams County,4,2010,52785,441603.0
Dolores County,4,2010,40511,2064.0
Weld County,4,2010,52334,252825.0
Fort Collins-Loveland MSA,21,2010,11218645000,300484.0
Larimer County,4,2010,54739,299630.0
United States,0,2010,40277,309346863.0
Arapahoe County,4,2010,58152,572003.0
San Juan County,4,2010,37001,699.0
Montrose County,4,2010,29218,41194.0
Fremont County,4,2010,1192642000,46857.0
Crowley County,4,2010,17666,5853.0
El Paso County,4,2010,23633803000,626916.0
Colorado,1,2010,39929,5048254.0
Jefferson County,4,2010,64181,534543.0
Colorado Springs MSA,21,2010,38355,650351.0
Jefferson County,4,2010,43189,535625.0
Rio Blanco County,4,2010,244085000,6669.0
Chaffee County,4,2010,42420,17809.0
Conejos County,4,2010,32254,8256.0
Archuleta County,4,2010,30161,12056.0
Gunnison County,4,2010,33115,15379.0
Yuma County,4,2010,38255,10025.0
Gilpin County,4,2010,190879000,5461.0
San Miguel County,4,2010,339378000,7359.0
Boulder County,4,2010,49513,295986.0
Sedgwick County,4,2010,36749,2379.0
Baca County,4,2010,148585000,3790.0
La Plata County,4,2010,40552,51371.0
Cheyenne County,4,2010,53943,1831.0
